Year,State,County,Office,Party,Votes
2018,MN,Morrison County,US Senator,Republican,8678
2018,MN,Mower County,US Senator,Democratic,8396
2018,MN,Mower County,US Senator,Republican,5705
2018,MN,Murray County,US Senator,Democratic,1925
2018,MN,Murray County,US Senator,Republican,2070
2018,MN,Nicollet County,US Senator,Democratic,9632
2018,MN,Nicollet County,US Senator,Republican,5517
2018,MN,Nobles County,US Senator,Democratic,3185
2018,MN,Nobles County,US Senator,Republican,3523
2018,MN,Norman County,US Senator,Democratic,1588
2018,MN,Norman County,US Senator,Republican,1049
2018,MN,Otter Tail County,US Senator,Democratic,12002
2018,MN,Otter Tail County,US Senator,Republican,14688
2018,MN,Pennington County,US Senator,Democratic,2582
2018,MN,Pennington County,US Senator,Republican,2573
2018,MN,Pine County,US Senator,Democratic,5648
2018,MN,Pine County,US Senator,Republican,5528
2018,MN,Pope County,US Senator,Democratic,2851
2018,MN,Pope County,US Senator,Republican,2443
2018,MN,Ramsey County,US Senator,Democratic,182445
2018,MN,Ramsey County,US Senator,Republican,53101
2018,MN,Red Lake County,US Senator,Democratic,900
2018,MN,Red Lake County,US Senator,Republican,709
2018,MN,Renville County,US Senator,Democratic,3194
2018,MN,Renville County,US Senator,Republican,2888
2018,MN,Rice County,US Senator,Democratic,16881
2018,MN,Rice County,US Senator,Republican,10604
2018,MN,Rock County,US Senator,Democratic,1452
2018,MN,Rock County,US Senator,Republican,2217
2018,MN,Roseau County,US Senator,Democratic,2517
2018,MN,Roseau County,US Senator,Republican,3771
2018,MN,Saint Louis County,US Senator,Democratic,66056
2018,MN,Saint Louis County,US Senator,Republican,30293
2018,MN,Sibley County,US Senator,Democratic,3050
2018,MN,Sibley County,US Senator,Republican,3337
2018,MN,Stearns County,US Senator,Democratic,31970
2018,MN,Stearns County,US Senator,Republican,31821
2018,MN,Steele County,US Senator,Democratic,8192
2018,MN,Steele County,US Senator,Republican,7490
2018,MN,Stevens County,US Senator,Democratic,2290
2018,MN,Stevens County,US Senator,Republican,1969
2018,MN,Swift County,US Senator,Democratic,2147
2018,MN,Swift County,US Senator,Republican,1793
2018,MN,Traverse County,US Senator,Democratic,825
2018,MN,Traverse County,US Senator,Republican,665
2018,MN,Wabasha County,US Senator,Democratic,4961
2018,MN,Wabasha County,US Senator,Republican,4695
2018,MN,Wadena County,US Senator,Democratic,2044
2018,MN,Wadena County,US Senator,Republican,3379
2018,MN,Waseca County,US Senator,Democratic,4035
2018,MN,Waseca County,US Senator,Republican,3872
2018,MN,Washington County,US Senator,Democratic,78364
2018,MN,Washington County,US Senator,Republican,47785
2018,MN,Watonwan County,US Senator,Democratic,2200
2018,MN,Watonwan County,US Senator,Republican,1819
2018,MN,Wilkin County,US Senator,Democratic,1251
2018,MN,Wilkin County,US Senator,Republican,1243
2018,MN,Wright County,US Senator,Democratic,26821
2018,MN,Wright County,US Senator,Republican,30572
2018,MT,Big Horn County,US Senator,Democratic,3027
2018,MT,Big Horn County,US Senator,Republican,1558
2018,MT,Blaine County,US Senator,Democratic,1961
2018,MT,Blaine County,US Senator,Republican,982
2018,MT,Broadwater County,US Senator,Democratic,1071
2018,MT,Broadwater County,US Senator,Republican,2086
2018,MT,Carbon County,US Senator,Democratic,2680
2018,MT,Carbon County,US Senator,Republican,3209
2018,MT,Carter County,US Senator,Democratic,128
2018,MT,Carter County,US Senator,Republican,602
2018,MT,Cascade County,US Senator,Democratic,17435
2018,MT,Cascade County,US Senator,Republican,15566
2018,MT,Custer County,US Senator,Democratic,1942
2018,MT,Custer County,US Senator,Republican,2762
2018,MT,Daniels County,US Senator,Democratic,281
2018,MT,Daniels County,US Senator,Republican,631
2018,MT,Dawson County,US Senator,Democratic,1233
2018,MT,Dawson County,US Senator,Republican,2700
2018,MT,Deer Lodge County,US Senator,Democratic,2892
2018,MT,Deer Lodge County,US Senator,Republican,1208
2018,MT,Fallon County,US Senator,Democratic,281
2018,MT,Fallon County,US Senator,Republican,951
2018,MT,Fergus County,US Senator,Democratic,1964
2018,MT,Fergus County,US Senator,Republican,3640
2018,MT,Flathead County,US Senator,Democratic,19652
2018,MT,Flathead County,US Senator,Republican,26759
2018,MT,Gallatin County,US Senator,Democratic,33251
2018,MT,Gallatin County,US Senator,Republican,21248
2018,MT,Glacier County,US Senator,Democratic,3754
2018,MT,Glacier County,US Senator,Republican,1153
2018,MT,Golden Valley County,US Senator,Democratic,130
2018,MT,Golden Valley County,US Senator,Republican,303
2018,MT,Granite County,US Senator,Democratic,695
2018,MT,Granite County,US Senator,Republican,1046
2018,MT,Hill County,US Senator,Democratic,3729
2018,MT,Hill County,US Senator,Republican,2434
2018,MT,Judith Basin County,US Senator,Democratic,388
2018,MT,Judith Basin County,US Senator,Republican,752
2018,MT,Liberty County,US Senator,Democratic,365
2018,MT,Liberty County,US Senator,Republican,586
2018,MT,Lincoln County,US Senator,Democratic,2902
2018,MT,Lincoln County,US Senator,Republican,6137
2018,MT,McCone County,US Senator,Democratic,227
2018,MT,McCone County,US Senator,Republican,773
2018,MT,Meagher County,US Senator,Democratic,319
2018,MT,Meagher County,US Senator,Republican,629
2018,MT,Mineral County,US Senator,Democratic,785
2018,MT,Mineral County,US Senator,Republican,1181
2018,MT,Musselshell County,US Senator,Democratic,573
2018,MT,Musselshell County,US Senator,Republican,1743
2018,MT,Park County,US Senator,Democratic,5114
2018,MT,Park County,US Senator,Republican,4357
2018,MT,Phillips County,US Senator,Democratic,577
2018,MT,Phillips County,US Senator,Republican,1426
2018,MT,Pondera County,US Senator,Democratic,1176
2018,MT,Pondera County,US Senator,Republican,1413
2018,MT,Powder River County,US Senator,Democratic,203
2018,MT,Powder River County,US Senator,Republican,748
2018,MT,Powell County,US Senator,Democratic,1026
2018,MT,Powell County,US Senator,Republican,1641
2018,MT,Prairie County,US Senator,Democratic,177
2018,MT,Prairie County,US Senator,Republican,450
2018,MT,Ravalli County,US Senator,Democratic,9156
2018,MT,Ravalli County,US Senator,Republican,13622
2018,MT,Roosevelt County,US Senator,Democratic,2013
2018,MT,Roosevelt County,US Senator,Republican,1346
2018,MT,Rosebud County,US Senator,Democratic,1511
2018,MT,Rosebud County,US Senator,Republican,1765
2018,MT,Sanders County,US Senator,Democratic,2071
2018,MT,Sanders County,US Senator,Republican,3856
2018,MT,Sheridan County,US Senator,Democratic,712
2018,MT,Sheridan County,US Senator,Republican,1017
2018,MT,Silver Bow County,US Senator,Democratic,11672
2018,MT,Silver Bow County,US Senator,Republican,4246
2018,MT,Stillwater County,US Senator,Democratic,1501
2018,MT,Stillwater County,US Senator,Republican,3206
2018,MT,Sweet Grass County,US Senator,Democratic,652
2018,MT,Sweet Grass County,US Senator,Republican,1372
2018,MT,Teton County,US Senator,Democratic,1290
2018,MT,Teton County,US Senator,Republican,1784
2018,MT,Valley County,US Senator,Democratic,1545
2018,MT,Valley County,US Senator,Republican,2137
2018,MT,Wheatland County,US Senator,Democratic,315
2018,MT,Wheatland County,US Senator,Republican,586
2018,MT,Wibaux County,US Senator,Democratic,140
2018,MT,Wibaux County,US Senator,Republican,390
2018,NE,Adams County,US Senator,Republican,6487
2018,NE,Adams County,US Senator,Democratic,3334
2018,NE,Antelope County,US Senator,Republican,2061
2018,NE,Antelope County,US Senator,Democratic,396
2018,NE,Arthur County,US Senator,Republican,202
2018,NE,Arthur County,US Senator,Democratic,24
2018,NE,Banner County,US Senator,Republican,263
2018,NE,Banner County,US Senator,Democratic,39
2018,NE,Boone County,US Senator,Republican,1757
2018,NE,Boone County,US Senator,Democratic,457
2018,NE,Burt County,US Senator,Republican,1995
2018,NE,Burt County,US Senator,Democratic,836
2018,NE,Butler County,US Senator,Republican,2470
2018,NE,Butler County,US Senator,Democratic,871
2018,NE,Cedar County,US Senator,Republican,2866
2018,NE,Cedar County,US Senator,Democratic,537
2018,NE,Chase County,US Senator,Republican,1340
2018,NE,Chase County,US Senator,Democratic,184
2018,NE,Cheyenne County,US Senator,Republican,2566
2018,NE,Cheyenne County,US Senator,Democratic,579
2018,NE,Clay County,US Senator,Republican,1979
2018,NE,Clay County,US Senator,Democratic,592
2018,NE,Cuming County,US Senator,Republican,2672
2018,NE,Cuming County,US Senator,Democratic,604
2018,NE,Custer County,US Senator,Republican,3797
2018,NE,Custer County,US Senator,Democratic,687
2018,NE,Dakota County,US Senator,Republican,2677
2018,NE,Dakota County,US Senator,Democratic,1691
2018,NE,Dawes County,US Senator,Republican,2334
2018,NE,Dawes County,US Senator,Democratic,914
2018,NE,Dawson County,US Senator,Republican,4363
2018,NE,Dawson County,US Senator,Democratic,1657
2018,NE,Dixon County,US Senator,Republican,1655
2018,NE,Dixon County,US Senator,Democratic,488
2018,NE,Dodge County,US Senator,Republican,7827
2018,NE,Dodge County,US Senator,Democratic,3824
2018,NE,Douglas County,US Senator,Republican,94777
2018,NE,Douglas County,US Senator,Democratic,103070
2018,NE,Fillmore County,US Senator,Republican,1718
2018,NE,Fillmore County,US Senator,Democratic,690
2018,NE,Frontier County,US Senator,Republican,831
2018,NE,Frontier County,US Senator,Democratic,173
2018,NE,Furnas County,US Senator,Republican,1719
2018,NE,Furnas County,US Senator,Democratic,334
2018,NE,Gage County,US Senator,Republican,4896
2018,NE,Gage County,US Senator,Democratic,3024
2018,NE,Garfield County,US Senator,Republican,667
2018,NE,Garfield County,US Senator,Democratic,113
2018,NE,Gosper County,US Senator,Republican,667
2018,NE,Gosper County,US Senator,Democratic,147
2018,NE,Grant County,US Senator,Republican,282
2018,NE,Grant County,US Senator,Democratic,14
2018,NE,Hall County,US Senator,Republican,10483
2018,NE,Hall County,US Senator,Democratic,5624
2018,NE,Hamilton County,US Senator,Republican,3076
2018,NE,Hamilton County,US Senator,Democratic,896
2018,NE,Harlan County,US Senator,Republican,1149
2018,NE,Harlan County,US Senator,Democratic,287
2018,NE,Hitchcock County,US Senator,Republican,890
2018,NE,Hitchcock County,US Senator,Democratic,154
2018,NE,Hooker County,US Senator,Republican,258
2018,NE,Hooker County,US Senator,Democratic,49
2018,NE,Jefferson County,US Senator,Republican,1913
2018,NE,Jefferson County,US Senator,Democratic,924
2018,NE,Keith County,US Senator,Republican,2542
2018,NE,Keith County,US Senator,Democratic,567
2018,NE,Kimball County,US Senator,Republican,1122
2018,NE,Kimball County,US Senator,Democratic,202
2018,NE,Knox County,US Senator,Republican,2812
2018,NE,Knox County,US Senator,Democratic,669
2018,NE,Lancaster County,US Senator,Republican,49449
2018,NE,Lincoln County,US Senator,Republican,8999
2018,NE,Lincoln County,US Senator,Democratic,2886
2018,NE,Logan County,US Senator,Republican,306
2018,NE,Logan County,US Senator,Democratic,23
2018,NE,Loup County,US Senator,Republican,247
2018,NE,Loup County,US Senator,Democratic,51
2018,NE,Madison County,US Senator,Republican,7949
2018,NE,Madison County,US Senator,Democratic,2236
2018,NE,McPherson County,US Senator,Republican,228
2018,NE,McPherson County,US Senator,Democratic,22
2018,NE,Merrick County,US Senator,Republican,2563
2018,NE,Merrick County,US Senator,Democratic,647
2018,NE,Morrill County,US Senator,Republican,1699
2018,NE,Morrill County,US Senator,Democratic,308
2018,NE,Nance County,US Senator,Republican,885
2018,NE,Nance County,US Senator,Democratic,315
2018,NE,Nemaha County,US Senator,Republican,1788
2018,NE,Nemaha County,US Senator,Democratic,727
2018,NE,Nuckolls County,US Senator,Republican,1321
2018,NE,Nuckolls County,US Senator,Democratic,365
2018,NE,Otoe County,US Senator,Republican,4098
2018,NE,Otoe County,US Senator,Democratic,1977
2018,NE,Pawnee County,US Senator,Republican,774
2018,NE,Pawnee County,US Senator,Democratic,332
2018,NE,Perkins County,US Senator,Republican,1011
2018,NE,Perkins County,US Senator,Democratic,180
2018,NE,Phelps County,US Senator,Republican,3068
2018,NE,Phelps County,US Senator,Democratic,671
2018,NE,Pierce County,US Senator,Republican,2339
2018,NE,Pierce County,US Senator,Democratic,341
2018,NE,Platte County,US Senator,Republican,8372
2018,NE,Platte County,US Senator,Democratic,2343
2018,NE,Polk County,US Senator,Republican,1574
2018,NE,Polk County,US Senator,Democratic,448
2018,NE,Red Willow County,US Senator,Republican,3051
2018,NE,Red Willow County,US Senator,Democratic,696
2018,NE,Richardson County,US Senator,Republican,2137
2018,NE,Richardson County,US Senator,Democratic,858
2018,NE,Rock County,US Senator,Republican,569
2018,NE,Rock County,US Senator,Democratic,79
2018,NE,Sarpy County,US Senator,Republican,39306
2018,NE,Sarpy County,US Senator,Democratic,25706
2018,NE,Saunders County,US Senator,Republican,6479
2018,NE,Saunders County,US Senator,Democratic,2664
2018,NE,Scotts Bluff County,US Senator,Republican,7398
2018,NE,Scotts Bluff County,US Senator,Democratic,2887
2018,NE,Sheridan County,US Senator,Republican,1670
2018,NE,Sheridan County,US Senator,Democratic,275
2018,NE,Thayer County,US Senator,Republican,1606
2018,NE,Thayer County,US Senator,Democratic,539
2018,NE,Thomas County,US Senator,Republican,291
2018,NE,Thomas County,US Senator,Democratic,36
2018,NE,Valley County,US Senator,Republican,1388
2018,NE,Valley County,US Senator,Democratic,359
2018,NE,Washington County,US Senator,Republican,6462
2018,NE,Washington County,US Senator,Democratic,2438
2018,NE,Webster County,US Senator,Republican,997
2018,NE,Webster County,US Senator,Democratic,318
2018,NE,Wheeler County,US Senator,Republican,343
2018,NE,Wheeler County,US Senator,Democratic,60
2018,NE,York County,US Senator,Republican,3659
2018,NE,York County,US Senator,Democratic,1281
2018,NV,Carson City,US Senator,Republican,12328
2018,NV,Carson City,US Senator,Democratic,9321
2018,NV,Churchill County,US Senator,Republican,7042
2018,NV,Churchill County,US Senator,Democratic,1999
2018,NV,Clark County,US Senator,Republican,266675
2018,NV,Clark County,US Senator,Democratic,359028
2018,NV,Douglas County,US Senator,Republican,16742
2018,NV,Douglas County,US Senator,Democratic,8303
2018,NV,Elko County,US Senator,Republican,11491
2018,NV,Elko County,US Senator,Democratic,2904
2018,NV,Esmeralda County,US Senator,Republican,280
2018,NV,Esmeralda County,US Senator,Democratic,52
2018,NV,Lincoln County,US Senator,Republican,1547
2018,NV,Lincoln County,US Senator,Democratic,283
2018,NV,Lyon County,US Senator,Republican,14296
2018,NV,Lyon County,US Senator,Democratic,5526
2018,NV,Mineral County,US Senator,Republican,1056
2018,NV,Mineral County,US Senator,Democratic,570
2018,NV,Nye County,US Senator,Republican,11397
2018,NV,Nye County,US Senator,Democratic,4888
2018,NV,Storey County,US Senator,Republican,1495
2018,NV,Storey County,US Senator,Democratic,724
2018,NV,Washoe County,US Senator,Republican,86988
2018,NV,Washoe County,US Senator,Democratic,93828
2018,NV,White Pine County,US Senator,Republican,2351
2018,NV,White Pine County,US Senator,Democratic,635
2018,NJ,Camden County,US Senator,Republican,63279
2018,NJ,Camden County,US Senator,Democratic,113137
2018,NJ,Cumberland County,US Senator,Republican,19244
2018,NJ,Cumberland County,US Senator,Democratic,19386
2018,NJ,Hudson County,US Senator,Republican,36087
2018,NJ,Hudson County,US Senator,Democratic,132180
2018,NJ,Hunterdon County,US Senator,Republican,36116
2018,NJ,Hunterdon County,US Senator,Democratic,24823
2018,NJ,Middlesex County,US Senator,Republican,98764
2018,NJ,Middlesex County,US Senator,Democratic,148806
2018,NJ,Ocean County,US Senator,Republican,141902
2018,NJ,Ocean County,US Senator,Democratic,75597
2018,NJ,Passaic County,US Senator,Republican,58382
2018,NJ,Passaic County,US Senator,Democratic,86242
2018,NJ,Salem County,US Senator,Republican,13687
2018,NJ,Salem County,US Senator,Democratic,9060
2018,NJ,Somerset County,US Senator,Republican,61373
2018,NJ,Somerset County,US Senator,Democratic,70359
2018,NJ,Sussex County,US Senator,Republican,37720
2018,NJ,Sussex County,US Senator,Democratic,20229
2018,NJ,Warren County,US Senator,Republican,24357
2018,NJ,Warren County,US Senator,Democratic,14452
2018,NM,Catron County,US Senator,Democratic,550
2018,NM,Catron County,US Senator,Republican,1075
2018,NM,Chaves County,US Senator,Democratic,5279
2018,NM,Chaves County,US Senator,Republican,8727
2018,NM,Cibola County,US Senator,Democratic,3924
2018,NM,Cibola County,US Senator,Republican,1842
2018,NM,Curry County,US Senator,Democratic,2793
2018,NM,Curry County,US Senator,Republican,5896
2018,NM,De Baca County,US Senator,Democratic,267
2018,NM,De Baca County,US Senator,Republican,342
2018,NM,Dona Ana County,US Senator,Democratic,34651
2018,NM,Dona Ana County,US Senator,Republican,18101
2018,NM,Eddy County,US Senator,Democratic,4834
2018,NM,Eddy County,US Senator,Republican,8826
2018,NM,Guadalupe County,US Senator,Democratic,1094
2018,NM,Guadalupe County,US Senator,Republican,292
2018,NM,Harding County,US Senator,Democratic,198
2018,NM,Harding County,US Senator,Republican,199
2018,NM,Lea County,US Senator,Democratic,3331
2018,NM,Lea County,US Senator,Republican,8882
2018,NM,Luna County,US Senator,Democratic,3005
2018,NM,Luna County,US Senator,Republican,2313
2018,NM,McKinley County,US Senator,Democratic,12409
2018,NM,McKinley County,US Senator,Republican,2915
2018,NM,Mora County,US Senator,Democratic,1564
2018,NM,Mora County,US Senator,Republican,372
2018,NM,Otero County,US Senator,Democratic,6370
2018,NM,Otero County,US Senator,Republican,8460
2018,NM,Quay County,US Senator,Democratic,1016
2018,NM,Quay County,US Senator,Republican,1534
2018,NM,Rio Arriba County,US Senator,Democratic,8773
2018,NM,Rio Arriba County,US Senator,Republican,1945
2018,NM,Roosevelt County,US Senator,Democratic,1277
2018,NM,Roosevelt County,US Senator,Republican,2606
2018,NM,San Miguel County,US Senator,Democratic,6609
2018,NM,San Miguel County,US Senator,Republican,1298
2018,NM,Santa Fe County,US Senator,Democratic,49994
2018,NM,Santa Fe County,US Senator,Republican,9546
2018,NM,Socorro County,US Senator,Democratic,3409
2018,NM,Socorro County,US Senator,Republican,1700
2018,NM,Union County,US Senator,Democratic,334
2018,NM,Union County,US Senator,Republican,878
2018,NY,Allegany County,US Senator,Republican,8305
2018,NY,Allegany County,US Senator,Democratic,4844
2018,NY,Broome County,US Senator,Republican,27656
2018,NY,Broome County,US Senator,Democratic,37053
2018,NY,Cattaraugus County,US Senator,Republican,11586
2018,NY,Cattaraugus County,US Senator,Democratic,9199
2018,NY,Cayuga County,US Senator,Republican,11318
2018,NY,Cayuga County,US Senator,Democratic,12339
2018,NY,Chemung County,US Senator,Republican,13508
2018,NY,Chemung County,US Senator,Democratic,13032
2018,NY,Chenango County,US Senator,Republican,8279
2018,NY,Chenango County,US Senator,Democratic,6453
2018,NY,Clinton County,US Senator,Republican,9184
2018,NY,Clinton County,US Senator,Democratic,14143
2018,NY,Columbia County,US Senator,Republican,9155
2018,NY,Columbia County,US Senator,Democratic,15963
2018,NY,Cortland County,US Senator,Republican,6244
2018,NY,Cortland County,US Senator,Democratic,8143
2018,NY,Delaware County,US Senator,Republican,8225
2018,NY,Delaware County,US Senator,Democratic,7016
2018,NY,Erie County,US Senator,Republican,101349
2018,NY,Erie County,US Senator,Democratic,187978
2018,NY,Essex County,US Senator,Republican,5178
2018,NY,Essex County,US Senator,Democratic,7472
2018,NY,Franklin County,US Senator,Republican,5170
2018,NY,Franklin County,US Senator,Democratic,7466
2018,NY,Fulton County,US Senator,Republican,8719
2018,NY,Fulton County,US Senator,Democratic,6235
2018,NY,Greene County,US Senator,Republican,8695
2018,NY,Greene County,US Senator,Democratic,7788
2018,NY,Hamilton County,US Senator,Republican,1487
2018,NY,Hamilton County,US Senator,Democratic,962
2018,NY,Herkimer County,US Senator,Republican,10533
2018,NY,Herkimer County,US Senator,Democratic,8308
2018,NY,Kings County,US Senator,Republican,77030
2018,NY,Kings County,US Senator,Democratic,499372
2018,NY,Livingston County,US Senator,Republican,10812
2018,NY,Livingston County,US Senator,Democratic,10096
2018,NY,Monroe County,US Senator,Republican,85819
2018,NY,Monroe County,US Senator,Democratic,160167
2018,NY,Montgomery County,US Senator,Republican,6886
2018,NY,Montgomery County,US Senator,Democratic,6240
2018,NY,Niagara County,US Senator,Republican,29701
2018,NY,Niagara County,US Senator,Democratic,31813
2018,NY,Oneida County,US Senator,Republican,33095
2018,NY,Oneida County,US Senator,Democratic,34684
2018,NY,Onondaga County,US Senator,Republican,55240
2018,NY,Onondaga County,US Senator,Democratic,98804
2018,NY,Ontario County,US Senator,Republican,17441
2018,NY,Ontario County,US Senator,Democratic,20980
2018,NY,Orange County,US Senator,Republican,45428
2018,NY,Orange County,US Senator,Democratic,58942
2018,NY,Oswego County,US Senator,Republican,17754
2018,NY,Oswego County,US Senator,Democratic,15528
2018,NY,Queens County,US Senator,Republican,80421
2018,NY,Queens County,US Senator,Democratic,379201
2018,NY,Richmond County,US Senator,Republican,59336
2018,NY,Richmond County,US Senator,Democratic,66388
2018,NY,Saratoga County,US Senator,Republican,36394
2018,NY,Saratoga County,US Senator,Democratic,47535
2018,NY,Schenectady County,US Senator,Republican,18171
2018,NY,Schenectady County,US Senator,Democratic,29286
2018,NY,Schoharie County,US Senator,Republican,5577
2018,NY,Schoharie County,US Senator,Democratic,4666
2018,NY,Schuyler County,US Senator,Republican,3407
2018,NY,Schuyler County,US Senator,Democratic,3029
2018,NY,St. Lawrence County,US Senator,Republican,12705
2018,NY,St. Lawrence County,US Senator,Democratic,16149
2018,NY,Steuben County,US Senator,Republican,17922
2018,NY,Steuben County,US Senator,Democratic,12422
2018,NY,Suffolk County,US Senator,Republican,210272
2018,NY,Suffolk County,US Senator,Democratic,269281
2018,NY,Sullivan County,US Senator,Republican,9960
2018,NY,Sullivan County,US Senator,Democratic,11544
2018,NY,Tioga County,US Senator,Republican,9283
2018,NY,Tioga County,US Senator,Democratic,7272
2018,NY,Tompkins County,US Senator,Republican,7300
2018,NY,Tompkins County,US Senator,Democratic,25143
2018,NY,Ulster County,US Senator,Republican,22952
2018,NY,Ulster County,US Senator,Democratic,43658
2018,NY,Warren County,US Senator,Republican,9796
2018,NY,Warren County,US Senator,Democratic,13073
2018,NY,Washington County,US Senator,Republican,8596
2018,NY,Washington County,US Senator,Democratic,9248
2018,NY,Wayne County,US Senator,Republican,14592
2018,NY,Wayne County,US Senator,Democratic,12374
2018,NY,Westchester County,US Senator,Republican,85222
2018,NY,Westchester County,US Senator,Democratic,221750
2018,NY,Wyoming County,US Senator,Republican,7553
2018,NY,Wyoming County,US Senator,Democratic,3766
2018,ND,Adams County,US Senator,Democratic,364
2018,ND,Adams County,US Senator,Republican,796
2018,ND,Barnes County,US Senator,Democratic,2517
2018,ND,Barnes County,US Senator,Republican,2507
2018,ND,Benson County,US Senator,Democratic,1427
2018,ND,Benson County,US Senator,Republican,828
2018,ND,Burleigh County,US Senator,Democratic,17357
2018,ND,Burleigh County,US Senator,Republican,28494
2018,ND,Cass County,US Senator,Democratic,44723
2018,ND,Cass County,US Senator,Republican,32217
2018,ND,Cavalier County,US Senator,Democratic,765
2018,ND,Cavalier County,US Senator,Republican,1181
2018,ND,Dickey County,US Senator,Democratic,911
2018,ND,Dickey County,US Senator,Republican,1253
2018,ND,Dunn County,US Senator,Democratic,525
2018,ND,Dunn County,US Senator,Republican,1499
2018,ND,Eddy County,US Senator,Democratic,555
2018,ND,Eddy County,US Senator,Republican,675
2018,ND,Emmons County,US Senator,Democratic,391
2018,ND,Emmons County,US Senator,Republican,1433
2018,ND,Foster County,US Senator,Democratic,588
2018,ND,Foster County,US Senator,Republican,1052
2018,ND,Golden Valley County,US Senator,Democratic,171
2018,ND,Golden Valley County,US Senator,Republican,704
2018,ND,Grand Forks County,US Senator,Democratic,14827
2018,ND,Grand Forks County,US Senator,Republican,12952
2018,ND,Grant County,US Senator,Democratic,337
2018,ND,Grant County,US Senator,Republican,925
2018,ND,Griggs County,US Senator,Democratic,534
2018,ND,Griggs County,US Senator,Republican,688
2018,ND,Hettinger County,US Senator,Democratic,274
2018,ND,Hettinger County,US Senator,Republican,988
2018,ND,Kidder County,US Senator,Democratic,364
2018,ND,Kidder County,US Senator,Republican,911
2018,ND,LaMoure County,US Senator,Democratic,857
2018,ND,LaMoure County,US Senator,Republican,1203
2018,ND,Logan County,US Senator,Democratic,228
2018,ND,Logan County,US Senator,Republican,741
2018,ND,McIntosh County,US Senator,Democratic,467
2018,ND,McIntosh County,US Senator,Republican,982
2018,ND,McLean County,US Senator,Democratic,1701
2018,ND,McLean County,US Senator,Republican,3320
2018,ND,Mercer County,US Senator,Democratic,1061
2018,ND,Mercer County,US Senator,Republican,2941
2018,ND,Morton County,US Senator,Democratic,5175
2018,ND,Morton County,US Senator,Republican,9583
2018,ND,Mountrail County,US Senator,Democratic,1605
2018,ND,Mountrail County,US Senator,Republican,2208
2018,ND,Nelson County,US Senator,Democratic,866
2018,ND,Nelson County,US Senator,Republican,770
2018,ND,Pembina County,US Senator,Democratic,1132
2018,ND,Pembina County,US Senator,Republican,1814
2018,ND,Pierce County,US Senator,Democratic,711
2018,ND,Pierce County,US Senator,Republican,1168
2018,ND,Ransom County,US Senator,Democratic,1399
2018,ND,Ransom County,US Senator,Republican,890
2018,ND,Renville County,US Senator,Democratic,356
2018,ND,Renville County,US Senator,Republican,832
2018,ND,Rolette County,US Senator,Democratic,4042
2018,ND,Rolette County,US Senator,Republican,993
2018,ND,Sargent County,US Senator,Democratic,1171
2018,ND,Sargent County,US Senator,Republican,821
2018,ND,Sheridan County,US Senator,Democratic,179
2018,ND,Sheridan County,US Senator,Republican,607
2018,ND,Steele County,US Senator,Democratic,557
2018,ND,Steele County,US Senator,Republican,399
2018,ND,Stutsman County,US Senator,Democratic,4027
2018,ND,Stutsman County,US Senator,Republican,5489
2018,ND,Walsh County,US Senator,Democratic,1937
2018,ND,Walsh County,US Senator,Republican,2550
2018,ND,Wells County,US Senator,Democratic,622
2018,ND,Wells County,US Senator,Republican,1601
2018,OH,Adams County,US Senator,Republican,6000
2018,OH,Adams County,US Senator,Democratic,2635
2018,OH,Ashland County,US Senator,Republican,12048
2018,OH,Ashland County,US Senator,Democratic,6472
2018,OH,Athens County,US Senator,Republican,7126
2018,OH,Athens County,US Senator,Democratic,15472
2018,OH,Auglaize County,US Senator,Republican,13603
2018,OH,Auglaize County,US Senator,Democratic,5557
2018,OH,Brown County,US Senator,Republican,10184
2018,OH,Brown County,US Senator,Democratic,4651
2018,OH,Carroll County,US Senator,Republican,6503
2018,OH,Carroll County,US Senator,Democratic,3788
2018,OH,Clark County,US Senator,Republican,24446
2018,OH,Clark County,US Senator,Democratic,23525
2018,OH,Clermont County,US Senator,Republican,51918
2018,OH,Clermont County,US Senator,Democratic,27803
2018,OH,Clinton County,US Senator,Republican,10356
2018,OH,Clinton County,US Senator,Democratic,4645
2018,OH,Columbiana County,US Senator,Republican,21849
2018,OH,Columbiana County,US Senator,Democratic,13995
2018,OH,Coshocton County,US Senator,Republican,7163
2018,OH,Coshocton County,US Senator,Democratic,4680
2018,OH,Crawford County,US Senator,Republican,9149
2018,OH,Crawford County,US Senator,Democratic,5345
2018,OH,Cuyahoga County,US Senator,Republican,132948
2018,OH,Cuyahoga County,US Senator,Democratic,350362
2018,OH,Darke County,US Senator,Republican,13921
2018,OH,Darke County,US Senator,Democratic,5569
2018,OH,Defiance County,US Senator,Republican,8003
2018,OH,Defiance County,US Senator,Democratic,5812
2018,OH,Delaware County,US Senator,Republican,49587
2018,OH,Delaware County,US Senator,Democratic,44743
2018,OH,Erie County,US Senator,Republican,13633
2018,OH,Erie County,US Senator,Democratic,16659
2018,OH,Fairfield County,US Senator,Republican,32707
2018,OH,Fairfield County,US Senator,Democratic,26518
2018,OH,Fulton County,US Senator,Republican,9454
2018,OH,Fulton County,US Senator,Democratic,6707
2018,OH,Gallia County,US Senator,Republican,6275
2018,OH,Gallia County,US Senator,Democratic,3355
2018,OH,Geauga County,US Senator,Republican,23397
2018,OH,Geauga County,US Senator,Democratic,19104
2018,OH,Greene County,US Senator,Republican,38102
2018,OH,Greene County,US Senator,Democratic,30243
